# BUSCO version is: 3.0.2 
# The lineage dataset is: N/A (Creation date: N/A, number of species: N/A, number of BUSCOs: N/A)
# To reproduce this run: python /busco/scripts/run_BUSCO.py -i SPT1_trinity.okay.fasta -o run_sample_SPT -l plantae/ -m transcriptome -c 4
#
# Busco id	Status	Sequence	Score	Length
13388	Fragmented	TRINITY_DN33039_c0_g1_i1	680.1	371
13532	Complete	TRINITY_DN28142_c0_g1_i3	1328.0	731
13573	Complete	TRINITY_DN31688_c3_g1_i4	1009.9	654
13586	Complete	TRINITY_DN31549_c3_g1_i4	1359.4	641
1364	Complete	TRINITY_DN12840_c0_g2_i1	352.4	149
13644	Missing
1375	Complete	TRINITY_DN33137_c0_g1_i1	1423.7	787
1378	Complete	TRINITY_DN32090_c1_g1_i2	1914.0	1319
13837	Missing
13886	Complete	TRINITY_DN30431_c0_g1_i3	877.1	651
13889	Complete	TRINITY_DN30149_c0_g1_i2	931.4	593
13907	Complete	TRINITY_DN30459_c2_g1_i1	932.9	645
14044	Complete	TRINITY_DN29481_c0_g1_i3	913.0	647
14149	Fragmented	TRINITY_DN25591_c0_g1_i1	519.6	400
14189	Complete	TRINITY_DN17961_c0_g1_i1	640.8	436
14206	Complete	TRINITY_DN22580_c0_g1_i1	847.7	622
14291	Duplicated	TRINITY_DN31373_c2_g1_i2	1264.2	602
14291	Duplicated	TRINITY_DN31373_c2_g1_i5	1265.2	601
14388	Complete	TRINITY_DN24363_c0_g1_i1	940.3	595
14468	Complete	TRINITY_DN28143_c0_g1_i4	1269.2	628
14500	Duplicated	TRINITY_DN31217_c0_g1_i11	1023.8	663
14500	Duplicated	TRINITY_DN31217_c0_g1_i3	1107.7	666
14660	Complete	TRINITY_DN22941_c0_g1_i1	1047.7	638
14673	Complete	TRINITY_DN32618_c0_g1_i6	1255.6	835
14840	Complete	TRINITY_DN29461_c0_g2_i1	1143.9	542
14953	Missing
14975	Complete	TRINITY_DN32538_c0_g1_i8	708.8	499
14996	Complete	TRINITY_DN17185_c0_g1_i1	971.3	622
15076	Fragmented	TRINITY_DN2365_c0_g1_i1	598.4	367
15113	Complete	TRINITY_DN29643_c0_g2_i1	1181.6	642
15119	Complete	TRINITY_DN30167_c0_g1_i6	1150.0	676
15178	Duplicated	TRINITY_DN22203_c0_g1_i1	525.2	336
15178	Duplicated	TRINITY_DN26304_c0_g2_i2	459.7	250
15259	Complete	TRINITY_DN24752_c0_g3_i1	1245.2	822
15371	Complete	TRINITY_DN22877_c3_g1_i11	833.4	633
15432	Complete	TRINITY_DN27793_c0_g1_i1	1257.0	616
15539	Complete	TRINITY_DN23030_c0_g1_i1	1168.4	760
15557	Complete	TRINITY_DN26750_c0_g2_i1	893.8	504
15630	Complete	TRINITY_DN28715_c1_g1_i4	942.6	642
15637	Complete	TRINITY_DN29421_c0_g1_i1	1229.9	558
15845	Complete	TRINITY_DN22602_c0_g4_i3	715.7	604
15925	Complete	TRINITY_DN30966_c1_g2_i7	358.4	663
1594	Complete	TRINITY_DN28024_c0_g1_i1	955.9	766
15956	Complete	TRINITY_DN29374_c2_g2_i5	987.2	513
16000	Complete	TRINITY_DN26711_c0_g1_i4	951.8	688
16015	Fragmented	TRINITY_DN27444_c0_g3_i2	514.9	301
16023	Complete	TRINITY_DN30265_c0_g2_i2	851.8	409
16068	Missing
16074	Complete	TRINITY_DN32134_c0_g1_i3	1110.5	795
16137	Fragmented	TRINITY_DN30544_c0_g1_i2	423.3	317
16212	Duplicated	TRINITY_DN26134_c1_g1_i6	216.2	411
16212	Duplicated	TRINITY_DN26134_c1_g2_i5	237.1	411
16271	Duplicated	TRINITY_DN29595_c1_g1_i1	994.0	547
16271	Duplicated	TRINITY_DN29595_c1_g1_i3	995.0	533
16310	Complete	TRINITY_DN21823_c0_g1_i3	1008.7	618
1632	Complete	TRINITY_DN32512_c0_g1_i1	2318.1	1899
16330	Complete	TRINITY_DN32065_c0_g1_i4	840.1	381
16399	Complete	TRINITY_DN27635_c1_g1_i3	889.8	600
16440	Complete	TRINITY_DN27376_c0_g1_i3	1047.7	587
16452	Complete	TRINITY_DN26859_c0_g1_i10	941.4	606
16554	Complete	TRINITY_DN27236_c0_g1_i2	705.3	560
16582	Complete	TRINITY_DN31174_c0_g1_i5	1334.5	707
16747	Complete	TRINITY_DN23938_c0_g1_i1	196.3	475
16782	Complete	TRINITY_DN28743_c0_g1_i3	1128.8	522
16879	Complete	TRINITY_DN29203_c1_g1_i3	1013.7	731
16918	Fragmented	TRINITY_DN32486_c0_g2_i6	733.1	462
16919	Complete	TRINITY_DN26111_c0_g1_i3	1154.5	674
17016	Complete	TRINITY_DN31115_c0_g1_i6	1110.6	619
17092	Complete	TRINITY_DN26790_c2_g1_i1	1076.5	570
17120	Complete	TRINITY_DN29468_c0_g1_i1	979.8	635
17122	Complete	TRINITY_DN29100_c1_g1_i10	1092.6	850
17237	Complete	TRINITY_DN31390_c3_g1_i4	870.7	678
17430	Complete	TRINITY_DN24629_c0_g1_i2	631.7	578
17482	Complete	TRINITY_DN27199_c0_g2_i6	671.3	398
17627	Complete	TRINITY_DN32454_c0_g1_i1	435.8	571
17766	Complete	TRINITY_DN21144_c0_g1_i1	613.2	610
17891	Complete	TRINITY_DN27872_c2_g4_i1	540.6	732
17965	Missing
17966	Duplicated	TRINITY_DN22559_c0_g1_i3	115.0	394
17966	Duplicated	TRINITY_DN32589_c1_g1_i2	109.2	387
17976	Complete	TRINITY_DN29082_c0_g1_i3	1301.7	662
18091	Complete	TRINITY_DN28362_c1_g1_i11	551.7	505
183	Fragmented	TRINITY_DN15769_c0_g1_i1	492.9	256
18405	Complete	TRINITY_DN28770_c0_g1_i1	1120.9	538
1844	Fragmented	TRINITY_DN20598_c0_g2_i1	736.2	384
18481	Complete	TRINITY_DN23857_c0_g1_i3	638.3	593
18739	Duplicated	TRINITY_DN32904_c1_g1_i2	159.7	386
18739	Duplicated	TRINITY_DN32904_c1_g2_i2	175.8	273
18739	Duplicated	TRINITY_DN32904_c1_g2_i4	163.1	255
18749	Complete	TRINITY_DN27960_c1_g1_i12	861.6	587
18773	Complete	TRINITY_DN24312_c0_g2_i4	597.9	362
19045	Complete	TRINITY_DN20465_c0_g1_i1	848.8	478
19084	Complete	TRINITY_DN28419_c0_g3_i2	1032.9	617
19164	Complete	TRINITY_DN29704_c0_g1_i9	1110.0	572
19229	Complete	TRINITY_DN33062_c2_g3_i1	1021.1	511
19410	Complete	TRINITY_DN31233_c1_g2_i5	1003.5	540
19424	Complete	TRINITY_DN28373_c0_g1_i13	981.5	524
19489	Complete	TRINITY_DN28840_c0_g1_i1	815.1	550
19788	Complete	TRINITY_DN25253_c0_g1_i1	1120.0	540
19815	Complete	TRINITY_DN31151_c1_g2_i1	475.5	352
19837	Complete	TRINITY_DN25373_c0_g2_i3	1026.0	692
19884	Complete	TRINITY_DN28728_c0_g1_i6	1101.1	661
19906	Complete	TRINITY_DN33492_c8_g2_i1	636.8	454
19937	Duplicated	TRINITY_DN29783_c0_g1_i5	869.5	645
19937	Duplicated	TRINITY_DN29783_c0_g2_i4	780.0	591
19982	Complete	TRINITY_DN28950_c1_g2_i4	1107.7	560
20283	Duplicated	TRINITY_DN30722_c0_g1_i1	616.3	321
20283	Duplicated	TRINITY_DN30722_c0_g1_i2	610.5	321
20283	Duplicated	TRINITY_DN30722_c0_g2_i1	600.7	392
2032	Complete	TRINITY_DN31326_c2_g1_i4	1901.8	1085
20612	Complete	TRINITY_DN28215_c0_g1_i3	693.5	528
20688	Complete	TRINITY_DN28574_c0_g1_i5	987.3	555
207	Complete	TRINITY_DN32386_c0_g1_i2	2466.4	1786
20717	Complete	TRINITY_DN31062_c0_g1_i8	1109.1	536
20720	Complete	TRINITY_DN20797_c0_g1_i2	803.7	526
20729	Duplicated	TRINITY_DN30788_c1_g1_i10	953.6	552
20729	Duplicated	TRINITY_DN30788_c1_g3_i1	907.2	504
20755	Complete	TRINITY_DN30772_c0_g2_i1	823.6	436
20859	Complete	TRINITY_DN28463_c1_g1_i4	1109.5	548
20871	Fragmented	TRINITY_DN32460_c0_g1_i1	545.9	274
2088	Complete	TRINITY_DN30221_c0_g1_i3	2040.2	1176
20966	Fragmented	TRINITY_DN30396_c1_g2_i3	542.8	317
21011	Complete	TRINITY_DN24491_c0_g2_i4	979.8	542
2103	Complete	TRINITY_DN4611_c0_g1_i2	158.2	289
21114	Fragmented	TRINITY_DN30940_c0_g2_i1	589.3	315
21184	Complete	TRINITY_DN26682_c1_g1_i1	894.2	472
21236	Complete	TRINITY_DN30826_c1_g1_i1	586.1	508
21239	Complete	TRINITY_DN29598_c0_g1_i4	1072.6	564
21557	Duplicated	TRINITY_DN29970_c0_g1_i1	876.5	414
21557	Duplicated	TRINITY_DN29970_c0_g1_i2	970.4	494
21566	Complete	TRINITY_DN28309_c0_g1_i4	720.8	610
21738	Missing
21844	Complete	TRINITY_DN17235_c0_g1_i1	545.4	278
21947	Complete	TRINITY_DN30128_c0_g1_i4	645.2	562
21969	Complete	TRINITY_DN28353_c0_g1_i1	436.7	295
22216	Complete	TRINITY_DN27574_c0_g1_i1	936.7	508
22322	Complete	TRINITY_DN27787_c2_g1_i1	1091.1	566
22329	Complete	TRINITY_DN33353_c1_g1_i11	1530.7	882
22519	Complete	TRINITY_DN32144_c0_g1_i6	828.0	551
22768	Fragmented	TRINITY_DN19172_c0_g1_i1	299.9	252
22832	Complete	TRINITY_DN28660_c0_g1_i1	1068.1	657
22918	Complete	TRINITY_DN23477_c0_g1_i1	1130.2	602
22983	Complete	TRINITY_DN28803_c0_g1_i1	896.0	514
23066	Complete	TRINITY_DN21689_c0_g1_i3	481.9	269
23068	Complete	TRINITY_DN32720_c1_g2_i4	923.4	519
2336	Complete	TRINITY_DN26271_c0_g1_i2	931.0	1384
23377	Complete	TRINITY_DN20773_c0_g1_i3	766.3	499
23380	Complete	TRINITY_DN29790_c0_g1_i5	583.9	303
23384	Complete	TRINITY_DN28798_c2_g2_i1	1138.5	571
23520	Duplicated	TRINITY_DN24833_c2_g1_i5	471.3	382
23520	Duplicated	TRINITY_DN25151_c0_g1_i3	477.3	421
23617	Complete	TRINITY_DN28856_c0_g1_i1	1057.6	503
23630	Complete	TRINITY_DN20805_c0_g1_i1	721.1	699
23641	Complete	TRINITY_DN29707_c0_g1_i2	693.2	405
23707	Fragmented	TRINITY_DN25857_c1_g2_i1	533.9	284
23751	Complete	TRINITY_DN29629_c0_g1_i7	934.5	490
2376	Missing
23820	Duplicated	TRINITY_DN24166_c0_g3_i1	807.5	460
23820	Duplicated	TRINITY_DN24166_c0_g3_i6	815.2	489
23956	Complete	TRINITY_DN26116_c0_g1_i1	779.9	407
24064	Complete	TRINITY_DN32698_c1_g2_i7	897.6	635
2407	Complete	TRINITY_DN33061_c2_g2_i5	940.8	835
24075	Complete	TRINITY_DN30617_c0_g4_i3	426.5	521
24088	Complete	TRINITY_DN29678_c0_g1_i9	815.6	510
24324	Complete	TRINITY_DN26916_c0_g1_i4	1148.1	695
2448	Complete	TRINITY_DN29190_c1_g1_i1	1427.6	1075
24605	Complete	TRINITY_DN26351_c0_g1_i2	986.8	533
24728	Complete	TRINITY_DN26443_c0_g1_i2	884.5	517
24740	Complete	TRINITY_DN30887_c0_g1_i4	693.5	377
24857	Complete	TRINITY_DN31088_c0_g2_i6	750.7	533
24898	Complete	TRINITY_DN25711_c0_g1_i6	622.9	315
24918	Complete	TRINITY_DN29296_c0_g2_i1	1261.2	607
25101	Complete	TRINITY_DN31984_c1_g1_i4	964.8	521
25102	Complete	TRINITY_DN31958_c0_g1_i1	655.1	556
25131	Complete	TRINITY_DN24994_c0_g1_i1	1065.6	672
25238	Duplicated	TRINITY_DN25980_c0_g3_i1	761.3	403
25238	Duplicated	TRINITY_DN25980_c0_g3_i4	710.5	374
25675	Fragmented	TRINITY_DN14010_c0_g1_i1	217.7	285
25716	Complete	TRINITY_DN25030_c0_g1_i2	895.7	467
25722	Duplicated	TRINITY_DN21251_c0_g1_i2	867.3	509
25722	Duplicated	TRINITY_DN21251_c0_g1_i4	868.0	509
25757	Complete	TRINITY_DN32917_c2_g3_i1	665.0	614
25773	Duplicated	TRINITY_DN31052_c2_g4_i1	726.1	358
25773	Duplicated	TRINITY_DN31052_c2_g4_i2	725.6	358
25834	Complete	TRINITY_DN21294_c1_g1_i1	1178.1	632
25938	Duplicated	TRINITY_DN29401_c1_g1_i1	619.6	344
25938	Duplicated	TRINITY_DN29401_c1_g1_i2	608.4	335
26037	Complete	TRINITY_DN25489_c1_g1_i8	901.2	487
26179	Complete	TRINITY_DN26580_c0_g1_i2	831.1	426
26195	Complete	TRINITY_DN30389_c0_g1_i3	861.8	499
26260	Complete	TRINITY_DN29992_c1_g1_i7	836.4	692
26307	Missing
26319	Complete	TRINITY_DN28194_c1_g1_i9	916.7	554
26369	Duplicated	TRINITY_DN31124_c0_g1_i5	640.4	536
26369	Duplicated	TRINITY_DN31124_c0_g2_i1	577.8	383
2653	Complete	TRINITY_DN32415_c2_g1_i2	1969.6	1070
26531	Complete	TRINITY_DN21915_c0_g1_i3	794.2	570
26597	Complete	TRINITY_DN27288_c1_g4_i1	884.5	563
26681	Complete	TRINITY_DN26031_c3_g4_i2	795.5	421
26795	Duplicated	TRINITY_DN27703_c2_g1_i4	713.2	392
26795	Duplicated	TRINITY_DN27703_c2_g1_i5	710.5	383
26831	Complete	TRINITY_DN27979_c0_g1_i3	972.1	542
26837	Complete	TRINITY_DN22566_c0_g1_i2	813.2	581
2692	Fragmented	TRINITY_DN15913_c0_g1_i1	462.7	233
27	Complete	TRINITY_DN18021_c0_g1_i1	1610.6	1194
27071	Complete	TRINITY_DN19074_c0_g1_i1	419.1	509
27092	Complete	TRINITY_DN29576_c1_g1_i1	477.3	247
27135	Complete	TRINITY_DN27866_c0_g1_i1	905.6	473
27175	Complete	TRINITY_DN31464_c0_g1_i8	1049.3	662
27220	Complete	TRINITY_DN25194_c0_g1_i1	907.1	438
27252	Duplicated	TRINITY_DN30724_c0_g1_i2	736.4	404
27252	Duplicated	TRINITY_DN30724_c0_g1_i8	728.1	397
2726	Complete	TRINITY_DN32979_c0_g1_i3	2067.8	1351
27404	Duplicated	TRINITY_DN28265_c0_g1_i3	552.9	365
27404	Duplicated	TRINITY_DN28265_c0_g1_i4	545.6	358
27510	Fragmented	TRINITY_DN24739_c1_g2_i1	473.2	248
27549	Duplicated	TRINITY_DN29463_c3_g2_i2	780.5	499
27549	Duplicated	TRINITY_DN29463_c3_g2_i3	785.3	499
27567	Duplicated	TRINITY_DN24247_c0_g2_i3	907.3	448
27567	Duplicated	TRINITY_DN31300_c0_g1_i12	1027.1	557
27586	Complete	TRINITY_DN26053_c1_g1_i1	742.8	533
27657	Complete	TRINITY_DN21676_c0_g1_i5	728.5	520
27665	Complete	TRINITY_DN28704_c0_g1_i2	978.5	519
27816	Complete	TRINITY_DN26865_c2_g1_i11	684.9	532
27883	Complete	TRINITY_DN25345_c0_g1_i2	827.4	457
27891	Complete	TRINITY_DN30919_c1_g1_i13	783.2	536
2790	Complete	TRINITY_DN31776_c0_g1_i3	1390.0	805
27957	Complete	TRINITY_DN27706_c1_g4_i4	595.2	408
28040	Duplicated	TRINITY_DN29160_c0_g1_i4	733.6	400
28040	Duplicated	TRINITY_DN29160_c0_g3_i5	636.3	343
28093	Complete	TRINITY_DN28114_c0_g1_i8	908.0	529
2812	Fragmented	TRINITY_DN20979_c0_g1_i3	708.1	442
28201	Complete	TRINITY_DN28188_c0_g1_i3	564.5	331
28385	Complete	TRINITY_DN26090_c0_g2_i3	718.3	455
28426	Complete	TRINITY_DN27951_c1_g1_i3	581.3	434
28519	Complete	TRINITY_DN21122_c0_g1_i1	503.0	446
28630	Complete	TRINITY_DN31273_c1_g1_i16	307.2	475
28731	Duplicated	TRINITY_DN30526_c0_g1_i11	799.9	404
28731	Duplicated	TRINITY_DN30526_c0_g1_i12	937.2	460
28731	Duplicated	TRINITY_DN30526_c0_g1_i17	935.5	459
28748	Complete	TRINITY_DN25233_c0_g1_i4	777.9	476
29182	Missing
29269	Complete	TRINITY_DN22105_c0_g1_i2	420.3	367
2940	Complete	TRINITY_DN33199_c0_g1_i3	1311.8	727
29546	Complete	TRINITY_DN26300_c0_g1_i5	568.1	525
2958	Complete	TRINITY_DN33434_c2_g1_i2	984.3	632
29704	Complete	TRINITY_DN28107_c1_g3_i3	690.1	446
29872	Complete	TRINITY_DN31814_c2_g1_i2	765.8	696
29934	Complete	TRINITY_DN29330_c2_g4_i3	833.0	377
29945	Complete	TRINITY_DN24620_c0_g1_i2	928.2	525
29990	Complete	TRINITY_DN26950_c1_g1_i5	884.3	516
3026	Duplicated	TRINITY_DN24123_c0_g3_i7	765.6	567
3026	Duplicated	TRINITY_DN28868_c0_g5_i1	698.6	627
30281	Fragmented	TRINITY_DN31524_c0_g1_i4	465.8	210
30298	Complete	TRINITY_DN26674_c0_g1_i2	780.2	427
3041	Complete	TRINITY_DN28799_c0_g1_i2	1635.5	1107
30423	Duplicated	TRINITY_DN25988_c0_g1_i1	928.4	461
30423	Duplicated	TRINITY_DN25988_c0_g2_i4	925.5	464
30521	Complete	TRINITY_DN27265_c0_g1_i1	910.0	474
30527	Complete	TRINITY_DN28226_c0_g1_i3	1138.3	642
30741	Complete	TRINITY_DN25390_c0_g1_i1	789.9	502
30802	Complete	TRINITY_DN28577_c0_g2_i2	815.4	542
30892	Complete	TRINITY_DN27827_c0_g1_i1	757.6	520
30905	Missing
30999	Complete	TRINITY_DN27570_c1_g1_i5	769.9	444
31206	Complete	TRINITY_DN29682_c0_g1_i1	723.9	614
31257	Complete	TRINITY_DN28065_c1_g1_i1	255.0	349
31343	Complete	TRINITY_DN29469_c0_g1_i2	739.5	412
3136	Complete	TRINITY_DN23423_c0_g1_i2	979.4	694
31375	Complete	TRINITY_DN26110_c0_g1_i1	731.2	477
31622	Duplicated	TRINITY_DN31403_c0_g1_i3	655.9	404
31622	Duplicated	TRINITY_DN31403_c0_g3_i2	589.4	361
31820	Duplicated	TRINITY_DN24361_c1_g2_i12	694.6	456
31820	Duplicated	TRINITY_DN28120_c0_g2_i7	694.8	428
31820	Duplicated	TRINITY_DN28120_c0_g2_i8	632.2	339
31827	Duplicated	TRINITY_DN32279_c0_g2_i1	545.2	313
31827	Duplicated	TRINITY_DN32279_c0_g2_i2	546.3	315
31864	Complete	TRINITY_DN32389_c1_g2_i13	857.4	414
32107	Fragmented	TRINITY_DN17194_c0_g1_i1	250.7	264
32162	Complete	TRINITY_DN21826_c0_g1_i2	707.4	386
32179	Duplicated	TRINITY_DN31327_c0_g1_i3	833.2	513
32179	Duplicated	TRINITY_DN31327_c0_g1_i4	813.5	498
32315	Complete	TRINITY_DN27388_c0_g2_i2	921.9	533
3244	Complete	TRINITY_DN25802_c1_g1_i2	690.4	734
32447	Missing
32474	Complete	TRINITY_DN31348_c1_g1_i2	885.7	581
32586	Complete	TRINITY_DN25014_c0_g1_i7	1054.7	429
32605	Duplicated	TRINITY_DN30309_c0_g1_i1	832.0	424
32605	Duplicated	TRINITY_DN30309_c0_g1_i4	792.4	394
32605	Duplicated	TRINITY_DN30309_c0_g1_i7	838.1	425
32615	Missing
32724	Complete	TRINITY_DN30985_c0_g1_i2	639.9	438
32803	Complete	TRINITY_DN29524_c1_g3_i1	496.9	346
32805	Complete	TRINITY_DN31038_c1_g1_i6	709.5	405
3281	Complete	TRINITY_DN24985_c0_g1_i2	660.0	951
32877	Fragmented	TRINITY_DN25918_c0_g1_i6	543.9	291
33036	Complete	TRINITY_DN26097_c3_g1_i2	701.7	475
33100	Complete	TRINITY_DN25657_c0_g1_i2	923.4	459
33219	Complete	TRINITY_DN20754_c0_g1_i2	913.9	427
33235	Duplicated	TRINITY_DN29741_c0_g1_i1	684.2	472
33235	Duplicated	TRINITY_DN29741_c0_g1_i5	687.0	475
33257	Missing
33328	Duplicated	TRINITY_DN25249_c0_g1_i1	705.5	383
33328	Duplicated	TRINITY_DN25249_c0_g1_i2	712.2	413
33376	Complete	TRINITY_DN26904_c0_g1_i10	598.8	586
33397	Complete	TRINITY_DN22752_c0_g1_i1	924.4	489
33440	Duplicated	TRINITY_DN15730_c0_g1_i1	683.7	421
33440	Duplicated	TRINITY_DN25767_c1_g1_i6	684.0	434
33501	Complete	TRINITY_DN28051_c1_g1_i3	845.9	454
33506	Fragmented	TRINITY_DN21880_c0_g2_i3	394.3	246
33551	Fragmented	TRINITY_DN30130_c0_g1_i2	232.8	216
33609	Complete	TRINITY_DN26210_c0_g1_i1	644.8	320
33620	Missing
33916	Complete	TRINITY_DN27629_c0_g1_i11	729.8	455
34025	Complete	TRINITY_DN25302_c0_g1_i4	794.3	483
34082	Duplicated	TRINITY_DN28912_c0_g2_i2	403.9	336
34082	Duplicated	TRINITY_DN28912_c0_g2_i4	444.0	351
34107	Complete	TRINITY_DN18699_c0_g1_i3	750.9	413
34113	Duplicated	TRINITY_DN26538_c0_g1_i1	686.8	402
34113	Duplicated	TRINITY_DN26538_c0_g1_i4	651.1	365
34251	Complete	TRINITY_DN24379_c3_g1_i1	725.6	444
34273	Complete	TRINITY_DN26208_c0_g1_i1	741.5	398
34328	Complete	TRINITY_DN20471_c0_g1_i1	661.5	446
34550	Duplicated	TRINITY_DN20212_c0_g1_i2	763.3	570
34550	Duplicated	TRINITY_DN31423_c0_g1_i4	659.0	565
34554	Complete	TRINITY_DN26756_c0_g1_i3	766.4	399
34679	Complete	TRINITY_DN26095_c1_g5_i1	619.1	328
34878	Complete	TRINITY_DN27981_c0_g1_i5	738.0	376
35118	Complete	TRINITY_DN54755_c0_g1_i1	716.6	404
35240	Complete	TRINITY_DN22695_c0_g1_i1	812.0	457
35291	Complete	TRINITY_DN26085_c0_g1_i3	779.6	416
35350	Duplicated	TRINITY_DN28992_c0_g2_i1	458.4	272
35350	Duplicated	TRINITY_DN28992_c0_g2_i3	458.7	272
35378	Duplicated	TRINITY_DN29393_c0_g1_i2	674.2	374
35378	Duplicated	TRINITY_DN29393_c0_g1_i4	767.2	379
35419	Complete	TRINITY_DN29765_c0_g1_i10	658.0	505
35449	Complete	TRINITY_DN27381_c2_g1_i1	557.6	454
35644	Complete	TRINITY_DN30189_c2_g2_i12	653.6	480
35689	Missing
35754	Complete	TRINITY_DN26028_c0_g1_i1	841.4	533
35826	Complete	TRINITY_DN25566_c1_g1_i4	582.8	302
35841	Complete	TRINITY_DN27746_c0_g1_i2	901.5	441
36129	Complete	TRINITY_DN21085_c0_g1_i1	839.1	388
36136	Complete	TRINITY_DN22745_c0_g1_i3	606.0	425
36164	Fragmented	TRINITY_DN26639_c0_g1_i5	472.9	276
36187	Duplicated	TRINITY_DN27659_c1_g1_i1	626.7	417
36187	Duplicated	TRINITY_DN27659_c1_g1_i3	625.6	419
3636	Complete	TRINITY_DN32658_c0_g1_i2	764.4	520
36440	Complete	TRINITY_DN30630_c4_g1_i2	495.9	351
36657	Complete	TRINITY_DN27437_c1_g1_i1	751.2	486
36774	Complete	TRINITY_DN26431_c0_g1_i3	780.8	381
36781	Complete	TRINITY_DN22344_c0_g1_i8	290.3	271
36852	Duplicated	TRINITY_DN27897_c1_g1_i1	191.2	343
36852	Duplicated	TRINITY_DN27897_c1_g1_i10	191.3	334
36852	Duplicated	TRINITY_DN30837_c0_g1_i3	191.9	313
36861	Complete	TRINITY_DN24841_c0_g1_i11	720.3	431
36862	Complete	TRINITY_DN23867_c0_g1_i1	310.2	344
36890	Fragmented	TRINITY_DN24953_c0_g1_i4	352.0	191
36915	Duplicated	TRINITY_DN23987_c0_g2_i1	644.1	373
36915	Duplicated	TRINITY_DN23987_c0_g2_i3	641.5	392
37204	Complete	TRINITY_DN27627_c1_g1_i5	586.2	464
37315	Complete	TRINITY_DN25732_c1_g1_i2	827.1	439
37633	Duplicated	TRINITY_DN27820_c0_g2_i10	471.0	339
37633	Duplicated	TRINITY_DN27820_c0_g2_i2	401.3	284
37687	Complete	TRINITY_DN32108_c0_g2_i3	847.2	479
37762	Complete	TRINITY_DN30763_c2_g1_i3	846.4	439
37837	Complete	TRINITY_DN23503_c5_g1_i1	748.2	531
37858	Complete	TRINITY_DN23700_c0_g1_i2	600.8	391
37859	Complete	TRINITY_DN23642_c1_g1_i7	697.0	367
3789	Complete	TRINITY_DN31640_c0_g1_i5	1928.5	950
37897	Complete	TRINITY_DN27438_c0_g2_i6	571.6	304
38001	Duplicated	TRINITY_DN20860_c0_g1_i3	532.4	347
38001	Duplicated	TRINITY_DN20860_c1_g1_i1	543.3	372
38001	Duplicated	TRINITY_DN20860_c1_g1_i2	543.2	373
